"probe_id","symbol"
"1123_at","CHN1"
"1124_at","CHN2"
"1128_at","CHRM1"
"1129_at","CHRM2"
"1130_at_AB_12:33","LYST"
"1130_at_AB_1:11","LYST"
"1131_at","CHRM3"
"1132_at","CHRM4"
"1133_at","CHRM5"
"1134_at","CHRNA1"
"1135_at","CHRNA2"
"1136_at","CHRNA3"
"1137_at","CHRNA4"
"1138_at","CHRNA5"
"1140_at","CHRNB1"
"1141_at","CHRNB2"
"1142_at","CHRNB3"
"1143_at","CHRNB4"
"1144_at","CHRND"
"1145_at","CHRNE"
"1146_at","CHRNG"
"1147_at","CHUK"
"1149_at","CIDEA"
"1152_at","CKB"
"1153_at_AB_11:33","CIRBP"
"1153_at_AB_1:10","CIRBP"
"1154_at","CISH"
"1155_at","TBCB"
"1158_at","CKM"
"1159_at","CKMT1B"
"1160_at","CKMT2"
"1161_at","ERCC8"
"1164_at","CKS2"
"1173_at_AB_1:24","AP2M1"
"1173_at_AB_25:34","AP2M1"
"1174_at","AP1S1"
"1175_at","AP2S1"
"1176_at","AP3S1"
"1178_at","CLC"
"1179_at","CLCA1"
"1180_at","CLCN1"
"1181_at","CLCN2"
